case_id,case_name,category,status,setup,expected_behavior,actual_behavior,passed,gateway_response_code,gateway_error,rejected,accepted,recovered,mode,current_step,requires_client_continuation,completed_steps,avoided_replay_steps,resume_attempted,resume_recovered,post_resume_success,duplicate_side_effect,side_effects_before,side_effects_after,auto_executed_future_tool,future_tool_executions,idempotency_key_present,actual_policy,first_resume_result,second_resume_result,second_resume_policy,notes
resume_missing_checkpoint,resume_missing_checkpoint,missing_checkpoint,executed,resume for unknown session_id,"rejected, recovered=false, no side effect, auto_executed_future_tool=false","rejected with CodeInternalError, recovered=false, no side effect",true,-32603,no checkpoint found for session nonexistent-sess: cannot resume,true,false,false,,0,false,0,0,true,false,false,0,0,0,false,0,false,,,,,
resume_without_session_id,resume_without_session_id,missing_session_id,executed,X-Recovery-Mode: resume but no X-Session-ID,"rejected, recovered=false, explicit error/reason","rejected with CodeInvalidParams, explicit error about missing X-Session-ID",true,-32602,X-Session-ID header is required for recovery resume,true,false,false,,0,false,0,0,true,false,false,0,0,0,false,0,false,,,,,
resume_with_wrong_session_id,resume_with_wrong_session_id,wrong_session_id,executed,"checkpoint for session A, resume with session B","rejected, does not recover A, no state mutation for B",rejected; session A unchanged,true,-32603,no checkpoint found for session sess-B: cannot resume,true,false,false,,0,false,0,0,true,false,false,0,0,0,false,0,false,,,,,
resume_live_checkpoint_rejected,resume_live_checkpoint_rejected,live_checkpoint,executed,checkpoint with ACTIVE_CHECKPOINT status (live),"rejected, recovered=false",rejected; live session cannot be resumed,true,-32600,session is still active (ACTIVE_CHECKPOINT); cannot resume a live session,true,false,false,,0,false,0,0,true,false,false,0,0,0,false,0,false,,,,,
resume_non_recoverable_checkpoint,resume_non_recoverable_checkpoint,non_recoverable,executed,session with FAILED_TERMINAL status,"rejected, recovered=false, no continuation allowed",rejected; terminal state not recoverable,true,-32600,"session sess-fail is in non-recoverable status ""FAILED_TERMINAL""",true,false,false,,0,false,0,0,true,false,false,0,0,0,false,0,false,,,,,
resume_expired_checkpoint,resume_expired_checkpoint,expired_checkpoint,executed,checkpoint with expired TTL,"rejected if TTL supported, recovered=false",expired checkpoint rejected,true,-32603,no checkpoint found for session sess-exp: cannot resume,true,false,false,,0,false,0,0,true,false,false,0,0,0,false,0,false,,,,,TTL enforcement supported
checkpointed_resume_payload_fields,checkpointed_resume_payload_fields,valid_resume,executed,"ReAct session with 2 completed steps, checkpointed, valid resume","accepted, recovered=true, mode=react_client_cooperative, current_step>0, requires_client_continuation=true",accepted; all payload fields valid,true,0,,false,true,true,react_client_cooperative,2,true,2,2,true,true,false,0,0,0,false,0,false,,,,,
no_auto_execution_after_resume,no_auto_execution_after_resume,no_auto_execution,executed,"valid checkpoint, remaining steps exist, verify no auto-execution",resume returns continuation payload only; no auto-execution,no auto-execution; continuation payload only,true,0,,false,true,true,react_client_cooperative,2,true,0,0,true,true,false,0,0,0,false,0,false,,,,,
duplicate_resume_request,duplicate_resume_request,duplicate_resume,executed,"valid checkpoint, send resume twice with same session_id","policy recorded, duplicate_side_effect=0, auto_executed_future_tool=false",first=success second=success policy=same_payload,true,0,,false,false,false,,0,false,0,0,true,false,false,0,0,0,false,0,false,,success,success,same_payload,
resume_with_idempotency_key_side_effecting_step,resume_with_idempotency_key_side_effecting_step,idempotency,executed,checkpoint after side-effecting step with idempotency key,"side effect not repeated, duplicate_side_effect=0, continuation succeeds",accepted; no duplicate side effect,true,0,,false,true,true,react_client_cooperative,1,true,0,0,true,true,false,0,0,0,false,0,true,,,,,
resume_without_idempotency_key_for_side_effecting_step,resume_without_idempotency_key_for_side_effecting_step,idempotency_absent,executed,"side-effecting step without idempotency key, NonRecoverable=true","policy recorded (reject_unsafe_without_idempotency | allow_no_replay), duplicate_side_effect=0","rejected; NonRecoverable checkpoint, no duplicate side effect",true,-32600,react checkpoint is non-recoverable (side-effect without idempotency key),true,false,false,,0,false,0,0,true,false,false,0,0,0,false,0,false,reject_unsafe_without_idempotency,,,,
