component_id,artifact,source_file,metric,control_or_variant,observed_value,comparison_value,direction,interpretation,numeric_value_available
session_commitment,p3_failure_mechanism_ablation_v1,p3_failure_mechanism_ablation_v1/validation.json,commitment_issued,wo_commitment,0,>0 (plangate_full),commitment-issued signal absent when disabled,wo_commitment correctly shows zero commitment-issued signal,True
session_commitment,business_workflow_service_v3,business_workflow_service_v3/business_workflow_service_v3_effects.csv,cascade_failed,plangate_adaptive vs ng,NA,NA,commitment-protected variants reduce cascade vs no-governance,bws_v3 shows commitment protects session-level admission under controlled overload,False
adaptive_capacity_step0,business_workflow_service_v3,business_workflow_service_v3/business_workflow_service_v3_effects.csv,cascade_failed / wasted_service_ms,plangate_no_capacity_step0 vs plangate_strict,NA,NA,no-capacity increases raw success but also cascade_failed and wasted_service_ms,bws_v3 reveals the admission-vs-waste trade-off across concurrency and failure rates,False
adaptive_capacity_step0,adaptive_step0_react_recovery_full_v1,adaptive_step0_react_recovery_full_v1/validation.json,mock_recovery_success_present,plangate_adaptive vs plangate_no_capacity_step0,true,NA,adaptive+recovery present; no_capacity_step0 also present in variant list,full ablation confirms adaptive Step-0 is active alongside recovery in integrated experiments,True
react_checkpoint_manager,react_recovery_trigger_probe_v1,react_recovery_trigger_probe_v1/validation.json,resume_response_current_step_gt_zero,recovery probe,true,NA,checkpoint preserves completed step progress,recovery probe confirms checkpoint manager preserves current_step>0,True
react_checkpoint_manager,vllm_react_recovery_arm_v2,vllm_react_recovery_arm_v2/validation.json,avoided_replay_steps_positive,vLLM recovery,true,NA,checkpoint avoids replaying completed steps,vLLM recovery arm v2 confirms avoided_replay_steps>0 with real LLM backend,True
recovery_resume_protocol,business_workflow_service_v3,business_workflow_service_v3/validation.json,post_resume_success_positive_when_failure_gt_zero,plangate_adaptive_react_recovery,true,NA,resume protocol enables post-resume continuation,bws_v3 shows real post_resume_success after recoverable interruption,True
recovery_resume_protocol,vllm_react_recovery_arm_v2,vllm_react_recovery_arm_v2/validation.json,continued_after_resume_positive,vLLM recovery,true,NA,client continuation after resume confirmed on real vLLM,vLLM recovery arm v2 confirms continued_after_resume>0,True
commitment_token_integrity,p3_failure_mechanism_ablation_v1,p3_failure_mechanism_ablation_v1/validation.json,commitment_issued,wo_commitment,0,>0 (plangate_full),commitment token integrity requires commitment-issued signal,wo_commitment correctly disables commitment signal; full preserves it,True
commitment_token_integrity,cloudlab_random_redis_memory_v1,cloudlab_random_redis_memory_v1/validation.json,adversarial_all_rejected,redis shared state,true,NA,adversarial invalid-token checks correctly reject,cloudlab redis arm confirms adversarial_all_rejected=true under shared state,True
idempotency_side_effect_safety,business_workflow_service_v3,business_workflow_service_v3/validation.json,duplicate_side_effect_zero,all variants with side-effecting tools,true,NA,zero duplicate side effects under recovery/resume,bws_v3 shows duplicate_side_effect=0 across all 225 runs including recovery variants,True
idempotency_side_effect_safety,vllm_react_recovery_arm_v2,vllm_react_recovery_arm_v2/validation.json,duplicate_side_effect_zero,vLLM recovery,true,NA,zero duplicate side effects on real vLLM backend,vLLM recovery arm v2 confirms duplicate_side_effect=0 with real LLM,True
redis_shared_state,cloudlab_random_redis_memory_v1,cloudlab_random_redis_memory_v1/validation.json,state_miss_zero,redis,true,NA,redis prevents state misses under random routing,cloudlab confirms redis state_miss=0 while memory has state_miss>0,True
redis_shared_state,cloudlab_random_redis_memory_v1,cloudlab_random_redis_memory_v1/validation.json,state_miss_positive_all_runs,memory,true,NA,memory-local control exposes state misses,memory control arm confirms state misses are real under random routing,True
provider_aware_boundary,cloud_backend_smoke_v1,cloud_backend_smoke_v1/validation.json,react_recovery_success_required,cloud provider backend,false,NA,cloud provider elasticity changes admission trade-off,cloud backend smoke: provider elasticity means recovery not naturally triggered; admission friction differs from hard-capacity backends,True
provider_aware_boundary,adaptive_react_recovery_cloudllm_smoke_v1,adaptive_react_recovery_cloudllm_smoke_v1/validation.json,react_recovery_success_present,cloud LLM provider,false,NA,cloud LLM provider smoke: natural provider smoke may not trigger recoverable failure,reinforces provider-boundary interpretation: cloud elasticity masks capacity overload patterns,True
operator_overhead_deployability,operator_overhead_v1,operator_overhead_v1/validation.json,added_p95_ms / throughput_delta_pct,plangate_adaptive vs baseline_gateway,NA,NA,overhead bounded; p95 added near zero; throughput delta <5%,"operator_overhead_v1: WSR=1.0 all variants, zero errors, bounded overhead across C=20/50/100",False
operator_overhead_deployability,operator_overhead_v1,operator_overhead_v1/operator_overhead_effects.csv,gateway_cpu_delta_pct / gateway_peak_rss_delta_mb,plangate_adaptive vs baseline_gateway,NA,NA,cpu delta 1-44% across concurrency; rss delta ~5MB; idle recovery no extra overhead,operator_overhead_v1 effects: deployability metrics confirm bounded steady-state cost,False
